entity_id,name,category,description,procedure,effectiveness,cost_level,applicable_growth_stages,source
KG-PREV-001,合理修剪通风透光,农业防治,通过合理整形修剪去除过密枝、病虫枝和徒长枝，改善树冠通风透光条件，降低果园湿度，创造不利于病虫害发生的环境条件,冬季休眠期进行整形修剪去除过密枝和病虫枝;夏季生长期进行抹芽摘心和疏枝;保持树冠通风透光枝枝见光,高,低,萌芽期;展叶期;休眠期,《枣树栽培学》
KG-PREV-002,清洁果园清除病残体,农业防治,秋末冬初彻底清扫果园枯枝落叶落果和杂草，集中深埋或烧毁，减少越冬病源和虫源基数,落叶后全面清扫果园;剪除病虫枯枝;刮除老翘皮;清除树上僵果;将清理物深埋60cm以上或集中烧毁,高,低,休眠期,《果树病虫害防治》
KG-PREV-003,合理施肥增强树势,农业防治,科学配方施肥增施有机肥和磷钾肥，控制氮肥施用量，增强树体自身抗病虫能力,秋季基施腐熟有机肥每亩3000-5000kg;萌芽期追施氮磷钾复合肥;果实膨大期追施钾肥;叶面喷施微量元素肥料,高,中,萌芽期;花期;幼果期;膨大期,中国农业出版社《枣优质丰产栽培技术》
KG-PREV-004,果园覆盖与合理灌溉,农业防治,树盘覆盖地膜或秸秆减少土壤水分蒸发，采用滴灌等节水灌溉方式避免大水漫灌，控制果园湿度,春季树盘覆盖黑色地膜;行间覆盖秸秆和杂草;安装滴灌设施根据土壤墒情科学灌溉;雨季及时排水防涝,中,中,全生育期,国家枣树产业技术体系
KG-PREV-005,选用抗病品种,农业防治,优先选择和种植对主要病害具有较强抗性的枣树品种，降低病害发生风险减少农药使用,选择经审定的抗病优良品种;建立无病苗木繁育基地;引种时严格检疫;高接换种改造感病品种,高,中,全生育期,《枣树品种志》
KG-PREV-006,发芽前喷石硫合剂,化学防治,枣树萌芽前全树喷布3-5波美度石硫合剂，杀灭越冬病菌和虫卵，是春季病虫害防治的基础措施,春季萌芽前10-15天用3-5波美度石硫合剂全树均匀喷雾;枝干树缝要喷透;注意安全防护避免药液接触皮肤,高,低,萌芽期,《果树病虫害防治》
KG-PREV-007,花后喷施杀菌剂,化学防治,枣树落花后根据病害发生情况喷洒保护性杀菌剂或治疗性杀菌剂，预防花期和幼果期侵染性病害,落花后7-10天第一次喷药;使用代森锰锌或多菌灵等杀菌剂;间隔10-15天连喷2-3次;交替使用不同类型药剂防止产生抗药性,高,中,花期;幼果期,国家枣树产业技术体系
KG-PREV-008,雨季前喷施波尔多液,化学防治,雨季来临前喷洒波尔多液等保护性杀菌剂形成药膜保护叶片和果实，预防雨季高发的叶部和果实病害,雨季前10天喷洒1:2:200波尔多液;均匀喷洒叶片正反面和果实;雨季中根据雨量和病情补喷;注意与其他药剂的安全间隔期,高,中,展叶期;幼果期;膨大期,《果树化学保护》
KG-PREV-009,生长期针对性杀虫剂防治,化学防治,根据害虫发生规律和预测预报在防治关键时期选择高效低毒杀虫剂进行精准防治,根据虫情测报确定喷药时机;选择吡虫啉或阿维菌素等高效低毒药剂;幼虫初孵期为最佳防治期;严格执行安全间隔期;轮换用药延缓抗药性,高,中,展叶期;花期;幼果期;膨大期,国家枣树产业技术体系
KG-PREV-010,果实成熟前低残留药剂处理,化学防治,果实成熟前使用低毒低残留药剂处理，同时严格遵守农药安全间隔期，确保果品质量安全,成熟前20天停止使用化学农药;必要时使用生物制剂替代;检查并记录用药日期和种类;按安全间隔期推算最早采收日,中,中,成熟期,《农药管理条例》
KG-PREV-011,悬挂黄色粘虫板,物理防治,利用蚜虫粉虱等小型害虫的趋黄特性在果园内悬挂黄色粘虫板诱杀成虫降低虫口密度,在害虫发生初期悬挂黄色粘虫板;每亩悬挂20-30块;悬挂高度与树冠中部持平;粘虫板粘满后及时更换;配合信息素诱芯提高效果,中,低,展叶期;花期;幼果期,农业行业标准《果树绿色防控技术规程》
KG-PREV-012,频振式杀虫灯诱杀,物理防治,利用鳞翅目和鞘翅目等害虫的趋光性安装频振式杀虫灯诱杀成虫降低田间落卵量,每20-30亩安装一盏杀虫灯;灯高距地面1.5-2米;傍晚开灯凌晨关灯;每日清理集虫袋;4-10月持续使用,高,中,全生育期,国家枣树产业技术体系
KG-PREV-013,树干涂白,物理防治,秋冬季对枣树主干和大枝基部涂抹涂白剂防冻防日灼同时杀灭树皮缝隙中的越冬害虫和病菌,落叶后配制涂白剂生石灰10kg+硫磺1kg+水40kg;主干基部向上涂抹至1.2-1.5米高处;涂白要均匀严密不留缝隙;第二年春季检查补涂,中,低,休眠期,《枣树栽培学》
KG-PREV-014,果实套袋,物理防治,幼果期对果实进行套袋处理阻止害虫产卵和病菌侵染同时减少日灼和裂果提高果实商品率,花后30-40天幼果长至小指大时套袋;选用专用果袋;套袋前喷洒一遍杀菌杀虫剂;采收前10-15天摘袋促进着色,高,中,幼果期;膨大期;成熟期,中国农业出版社《枣优质丰产栽培技术》
KG-PREV-015,人工捕杀害虫,物理防治,对天牛象甲尺蠖等体型较大行动较慢的害虫进行人工捕杀和刮除减少化学农药使用,巡视果园发现天牛蛀孔用铁丝刺杀幼虫;摇树震落象甲成虫收集消灭;剪除尺蠖群集危害枝;冬季刮除树干上的龟蜡蚧蜡壳,中,低,全生育期,《枣树病虫害绿色防控》
KG-PREV-016,释放赤眼蜂,生物防治,在害虫产卵盛期释放赤眼蜂寄生害虫卵粒达到以虫治虫的目的尤其对鳞翅目害虫防效显著,害虫产卵初期开始放蜂;每亩每次放蜂量1-2万头;间隔5-7天放蜂一次连放3-4次;放蜂点均匀分布每亩5-8个点;避免放蜂前后3天喷药,高,中,花期;幼果期;膨大期,国家枣树产业技术体系
KG-PREV-017,喷施Bt制剂防治鳞翅目幼虫,生物防治,使用苏云金芽孢杆菌制剂防治鳞翅目食叶和蛀果害虫低龄幼虫对人畜安全不杀伤天敌,幼虫1-2龄期喷施Bt可湿性粉剂;傍晚喷药效果最佳;喷药均匀覆盖叶片正反面;与化学农药间隔7天以上使用,高,中,展叶期;花期;幼果期,农业行业标准《果树绿色防控技术规程》
KG-PREV-018,保护利用天敌昆虫,生物防治,通过果园生草和保留蜜源植物等方式为天敌昆虫提供栖息场所和替代食物增强自然控害能力,果园行间种植三叶草或紫花苜蓿;保留果园周边野生开花植物;避免在天敌盛发期使用广谱杀虫剂;设置天敌庇护所,中,低,全生育期,国家枣树产业技术体系
KG-PREV-019,使用植物源农药,生物防治,利用苦参碱印楝素等植物源农药防治害虫具有低毒低残留不易产生抗药性的优点,选择正规登记的植物源农药产品;在害虫发生初期及时喷施;喷施均匀周到;按推荐浓度使用不随意加量;安全间隔期较化学农药短,中,中,展叶期;幼果期;膨大期,《生物农药应用技术》
KG-PREV-020,施用微生物菌剂改良土壤,生物防治,施用木霉菌枯草芽孢杆菌等有益微生物菌剂改良根际土壤微生态环境抑制土传病原菌减少根部病害,春季土壤解冻后施入微生物菌剂;与有机肥混合施用效果更好;保持土壤湿润利于菌剂定殖;避免与杀菌剂同时使用;连年施用效果累积,中,中,萌芽期;花期,国家枣树产业技术体系
