pest_entity_id,symptom_entity_id,confidence,description
KG-ENT-001,KG-SYM-001,0.95,炭疽病典型症状:叶片出现褐色圆形病斑
KG-ENT-001,KG-SYM-004,0.95,炭疽病导致果实腐烂脱落
KG-ENT-001,KG-SYM-019,0.9,病果提前脱落
KG-ENT-001,KG-SYM-012,0.85,病斑组织脱落形成穿孔
KG-ENT-001,KG-SYM-003,0.6,严重时叶片卷曲
KG-ENT-001,KG-SYM-002,0.55,严重发病后叶片黄化
KG-ENT-001,KG-SYM-005,0.5,果实受害后皱缩干瘪
KG-ENT-001,KG-SYM-009,0.4,高湿环境下病部产生白色霉层
KG-ENT-001,KG-SYM-010,0.3,蚜虫并发时叶片有煤污
KG-ENT-001,KG-SYM-018,0.25,虫害复合发生时叶片有缺刻
KG-ENT-002,KG-SYM-008,0.98,疯病典型症状:枝叶丛生呈扫帚状
KG-ENT-002,KG-SYM-002,0.95,病树叶片黄化变小
KG-ENT-002,KG-SYM-020,0.95,花器退化为叶状结构
KG-ENT-002,KG-SYM-003,0.85,叶片变小皱缩卷曲
KG-ENT-002,KG-SYM-006,0.7,病重枝条逐渐枯死
KG-ENT-002,KG-SYM-019,0.65,病树坐果率低大量落果
KG-ENT-002,KG-SYM-001,0.4,叶片边缘出现不规则黄斑
KG-ENT-002,KG-SYM-005,0.5,病树果实变小皱缩
KG-ENT-002,KG-SYM-004,0.3,病树抗性降低可引发果实腐烂
KG-ENT-002,KG-SYM-007,0.25,严重时根系生长受阻
KG-ENT-002,KG-SYM-009,0.2,并发白粉病时叶片有白色霉层
KG-ENT-002,KG-SYM-010,0.2,并发煤污病时叶片变黑
KG-ENT-003,KG-SYM-011,0.98,锈病典型症状:叶背产生锈色孢子堆
KG-ENT-003,KG-SYM-002,0.9,叶片褪绿黄化
KG-ENT-003,KG-SYM-001,0.85,叶面出现褪绿黄斑
KG-ENT-003,KG-SYM-019,0.8,严重时叶片早落
KG-ENT-003,KG-SYM-003,0.55,叶片受害后卷曲
KG-ENT-003,KG-SYM-012,0.45,严重时叶片穿孔
KG-ENT-003,KG-SYM-005,0.35,影响光合作用导致果实皱缩
KG-ENT-003,KG-SYM-006,0.2,病害严重时新梢枯死
KG-ENT-003,KG-SYM-009,0.2,多雨季节病斑上产生白色霉层
KG-ENT-003,KG-SYM-010,0.15,并发煤污时叶片有黑色霉层
KG-ENT-004,KG-SYM-005,0.98,缩果病典型症状:果实皱缩干瘪
KG-ENT-004,KG-SYM-019,0.95,病果大量脱落
KG-ENT-004,KG-SYM-004,0.85,果实病部组织坏死软化
KG-ENT-004,KG-SYM-001,0.7,果面出现褐色病斑
KG-ENT-004,KG-SYM-009,0.45,高湿时病部产生白色霉层
KG-ENT-004,KG-SYM-002,0.35,严重时叶片黄化
KG-ENT-004,KG-SYM-010,0.25,并发煤污病时果面变黑
KG-ENT-004,KG-SYM-003,0.2,叶部并发症状叶片卷曲
KG-ENT-004,KG-SYM-006,0.15,枝干抗性降低易腐烂
KG-ENT-005,KG-SYM-004,0.98,果腐病典型症状:果实腐烂软腐
KG-ENT-005,KG-SYM-019,0.95,病果大量脱落
