pest_entity_id,climate_entity_id,optimal_range,threshold
KG-ENT-001,KG-CLI-001,28-35C,>35C易流行
KG-ENT-001,KG-CLI-002,RH>85%,RH>90%暴发
KG-ENT-001,KG-CLI-004,月降雨>120mm,连续阴雨>5天
KG-ENT-001,KG-CLI-005,25-30C,适宜发病
KG-ENT-001,KG-CLI-006,<5C,越冬休眠
KG-ENT-001,KG-CLI-003,土壤含水<40%,干旱抑制
KG-ENT-002,KG-CLI-001,25-32C,>35C加速发展
KG-ENT-002,KG-CLI-002,RH>70%,RH>85%有利
KG-ENT-002,KG-CLI-005,22-30C,适宜发病
KG-ENT-002,KG-CLI-006,<0C,冬季减轻
KG-ENT-002,KG-CLI-003,持续干旱,干旱加重症状
KG-ENT-002,KG-CLI-004,雨季,多雨有利于叶蝉繁殖
KG-ENT-003,KG-CLI-002,RH>85%,RH>90%孢子萌发
KG-ENT-003,KG-CLI-004,月降雨>150mm,连续降雨>3天
KG-ENT-003,KG-CLI-005,20-28C,适宜温度
KG-ENT-003,KG-CLI-001,>32C,高温抑制侵染
KG-ENT-003,KG-CLI-003,RH<60%,干旱不利发生
KG-ENT-003,KG-CLI-006,<5C,越冬
KG-ENT-004,KG-CLI-002,RH>80%,RH>90%高发
KG-ENT-004,KG-CLI-004,月降雨>130mm,连续阴雨>4天
KG-ENT-004,KG-CLI-005,25-30C,适宜温度
KG-ENT-004,KG-CLI-001,>33C,高温加剧
KG-ENT-004,KG-CLI-003,RH<50%,干旱减轻
KG-ENT-004,KG-CLI-006,<5C,病原越冬
KG-ENT-005,KG-CLI-002,RH>85%,RH>92%严重腐烂
KG-ENT-005,KG-CLI-004,月降雨>140mm,连续降雨>5天
KG-ENT-005,KG-CLI-005,24-30C,适宜发病
KG-ENT-005,KG-CLI-001,>32C,高温加重腐烂
KG-ENT-005,KG-CLI-003,干旱,抑制病害
KG-ENT-005,KG-CLI-006,<5C,越冬
KG-ENT-006,KG-CLI-002,RH>80%,RH>88%流行
KG-ENT-006,KG-CLI-004,月降雨>120mm,连续阴雨>4天
KG-ENT-006,KG-CLI-005,22-28C,适宜温度
KG-ENT-006,KG-CLI-001,>35C,高温抑制
KG-ENT-006,KG-CLI-003,干旱,减轻发生
KG-ENT-006,KG-CLI-006,<5C,越冬
KG-ENT-007,KG-CLI-002,RH>80%,RH>88%高发
KG-ENT-007,KG-CLI-004,月降雨>130mm,连续阴雨>5天
KG-ENT-007,KG-CLI-005,22-28C,适宜温度
KG-ENT-007,KG-CLI-001,>34C,高温抑制
KG-ENT-007,KG-CLI-003,RH<55%,干旱减轻
KG-ENT-007,KG-CLI-006,<5C,越冬
KG-ENT-008,KG-CLI-005,18-25C,最适活动温度
KG-ENT-008,KG-CLI-001,>30C,高温加速发育
KG-ENT-008,KG-CLI-006,<-5C,低温冻死越冬虫
KG-ENT-008,KG-CLI-003,干旱,干旱利于成虫活动
KG-ENT-008,KG-CLI-002,RH>85%,高湿不利
KG-ENT-008,KG-CLI-004,多雨,降雨抑制成虫活动
KG-ENT-009,KG-CLI-005,18-28C,最适发育温度
KG-ENT-009,KG-CLI-002,RH>75%,高湿利于发生
KG-ENT-009,KG-CLI-004,多雨,多雨年份发生重
KG-ENT-009,KG-CLI-001,>32C,高温抑制
KG-ENT-009,KG-CLI-003,干旱,干旱减轻危害
KG-ENT-009,KG-CLI-006,<-5C,低温减少越冬虫源
KG-ENT-010,KG-CLI-005,22-28C,最适发育温度
KG-ENT-010,KG-CLI-002,RH>70%,高湿利于成虫产卵
KG-ENT-010,KG-CLI-004,月降雨>100mm,土壤湿润利于出土
KG-ENT-010,KG-CLI-001,>35C,高温抑制成虫活动
KG-ENT-010,KG-CLI-003,干旱,土壤干旱不利幼虫出土
KG-ENT-010,KG-CLI-006,冬季低温,影响越冬幼虫存活
KG-ENT-011,KG-CLI-005,20-28C,最适温度
KG-ENT-011,KG-CLI-002,RH>70%,高湿利于发生
KG-ENT-011,KG-CLI-004,多雨,多雨年份发生重
KG-ENT-011,KG-CLI-001,>35C,高温抑制
KG-ENT-011,KG-CLI-003,持续干旱,干旱减轻密度
KG-ENT-011,KG-CLI-006,<-10C,低温降低越冬卵存活
KG-ENT-012,KG-CLI-005,20-28C,最适发育温度
KG-ENT-012,KG-CLI-002,RH>65%,适宜湿度
KG-ENT-012,KG-CLI-004,月降雨>80mm,春季多雨有利
KG-ENT-012,KG-CLI-001,>33C,高温不利幼虫
KG-ENT-012,KG-CLI-003,持续干旱,干旱不利发生
KG-ENT-012,KG-CLI-006,<-8C,低温冻死越冬蛹
KG-ENT-013,KG-CLI-005,22-28C,最适温度
KG-ENT-013,KG-CLI-002,RH>70%,高湿有利
KG-ENT-013,KG-CLI-004,春夏多雨,多雨年份重
KG-ENT-013,KG-CLI-001,>35C,高温抑制
KG-ENT-013,KG-CLI-003,干旱,干旱减轻
KG-ENT-013,KG-CLI-006,<-8C,低温减少越冬虫源
KG-ENT-014,KG-CLI-001,28-35C,高温繁殖最快
KG-ENT-014,KG-CLI-003,持续干旱,干旱大暴发
KG-ENT-014,KG-CLI-005,25-32C,最适温度
KG-ENT-014,KG-CLI-002,RH>80%,高湿抑制繁殖
KG-ENT-014,KG-CLI-004,连续降雨,降雨冲刷种群
KG-ENT-014,KG-CLI-006,<0C,低温越冬
KG-ENT-015,KG-CLI-005,22-30C,最适发育温度
KG-ENT-015,KG-CLI-002,RH>75%,高湿利于若虫孵化
KG-ENT-015,KG-CLI-004,春夏多雨,多雨有利
KG-ENT-015,KG-CLI-001,>38C,极端高温致死
KG-ENT-015,KG-CLI-003,干旱,干旱抑制孵化
KG-ENT-015,KG-CLI-006,<-12C,低温冻死越冬若虫
KG-ENT-016,KG-CLI-004,成熟期多雨,降雨直接导致裂果
KG-ENT-016,KG-CLI-003,前期干旱后期多雨,干湿交替最易裂果
KG-ENT-016,KG-CLI-001,>35C,高温伴随强光加重
KG-ENT-016,KG-CLI-005,25-30C,果实发育期
KG-ENT-016,KG-CLI-002,RH突然升高,湿度剧变易裂果
KG-ENT-016,KG-CLI-006,<-2C,霜冻伤果皮
KG-ENT-017,KG-CLI-001,>35C,高温强光直接导致
KG-ENT-017,KG-CLI-003,持续干旱,干旱加剧日灼
KG-ENT-017,KG-CLI-005,30-35C,危险温度
KG-ENT-017,KG-CLI-004,骤雨转晴,雨后暴晒易日灼
KG-ENT-017,KG-CLI-002,RH<40%,干燥加剧
KG-ENT-017,KG-CLI-006,0C以下,无日灼发生
KG-ENT-018,KG-CLI-003,土壤干旱,干旱降低铁有效性
KG-ENT-018,KG-CLI-004,土壤过湿,涝害损伤根系
KG-ENT-018,KG-CLI-006,土壤低温,低温降低根系吸收
KG-ENT-018,KG-CLI-001,>35C,高温加剧蒸腾
KG-ENT-018,KG-CLI-005,20-28C,最适生长温度
KG-ENT-018,KG-CLI-002,RH>85%,高湿利于根系吸收
KG-ENT-019,KG-CLI-004,土壤过湿,积水诱发根朽
KG-ENT-019,KG-CLI-002,RH>85%,高湿利于菌丝生长
KG-ENT-019,KG-CLI-005,20-28C,最适发病温度
KG-ENT-019,KG-CLI-001,>32C,高温加速腐烂
KG-ENT-019,KG-CLI-003,干旱,干旱减缓但加剧树势衰弱
KG-ENT-019,KG-CLI-006,<5C,低温抑制菌丝生长
KG-ENT-020,KG-CLI-005,22-30C,最适病毒增殖
KG-ENT-020,KG-CLI-001,>32C,高温抑制症状表现
KG-ENT-020,KG-CLI-002,RH>70%,高湿利于传毒介体
KG-ENT-020,KG-CLI-006,<5C,低温症状隐潜
KG-ENT-020,KG-CLI-003,干旱,干旱加重症状
KG-ENT-020,KG-CLI-004,多雨,多雨利于蚜虫传播
KG-ENT-021,KG-CLI-002,RH>80%,高湿利于病菌侵染
KG-ENT-021,KG-CLI-004,月降雨>120mm,降雨促进孢子传播
KG-ENT-021,KG-CLI-005,22-30C,最适温度
KG-ENT-021,KG-CLI-001,>35C,高温抑制
KG-ENT-021,KG-CLI-003,干旱,干旱减轻枝干病害
KG-ENT-021,KG-CLI-006,<-5C,冻伤为侵染创造条件
KG-ENT-022,KG-CLI-002,RH>75%,高湿有利侵染
KG-ENT-022,KG-CLI-004,春季多雨,春季多雨发病重
KG-ENT-022,KG-CLI-005,18-28C,最适发病温度
KG-ENT-022,KG-CLI-001,>35C,高温抑制病斑扩展
KG-ENT-022,KG-CLI-006,<-10C,冻伤诱发腐烂病
KG-ENT-022,KG-CLI-003,干旱,干旱抑制
KG-ENT-023,KG-CLI-005,22-30C,最适发育温度
KG-ENT-023,KG-CLI-002,RH>70%,高湿利于若虫孵化
