pest_entity_id,pesticide_entity_id,dosage_note,timing
KG-ENT-001,KG-PES-002,70%WP 800x,发病初期喷施
KG-ENT-001,KG-PES-003,50%WP 600x,花后及雨季
KG-ENT-001,KG-PES-004,80%WP 600x,雨季前保护
KG-ENT-001,KG-PES-005,12.5%WP 2500x,发病初期
KG-ENT-001,KG-PES-012,10亿CFU/g 600x,发病初期生物防治
KG-ENT-001,KG-PES-010,0.3波美度,萌芽前铲除
KG-ENT-002,KG-PES-007,10%WP 2500x,防治叶蝉媒介
KG-ENT-002,KG-PES-013,0.3%水剂 500x,防治叶蝉
KG-ENT-002,KG-PES-010,3波美度,休眠期全树喷洒
KG-ENT-003,KG-PES-001,25%WP 1200x,发病初期
KG-ENT-003,KG-PES-004,80%WP 600x,雨季前保护
KG-ENT-003,KG-PES-005,12.5%WP 2500x,发病初期
KG-ENT-003,KG-PES-010,0.3波美度,生长期预防
KG-ENT-003,KG-PES-012,10亿CFU/g 600x,生物防治替代
KG-ENT-004,KG-PES-002,70%WP 800x,幼果期开始
KG-ENT-004,KG-PES-003,50%WP 600x,花后及膨大期
KG-ENT-004,KG-PES-004,80%WP 600x,雨季保护
KG-ENT-004,KG-PES-012,10亿CFU/g 600x,生物防治
KG-ENT-004,KG-PES-010,0.3波美度,萌芽前
KG-ENT-005,KG-PES-003,50%WP 600x,幼果期开始
KG-ENT-005,KG-PES-002,70%WP 800x,发病初期
KG-ENT-005,KG-PES-004,80%WP 600x,雨季保护
KG-ENT-005,KG-PES-012,10亿CFU/g 600x,生物防治
KG-ENT-005,KG-PES-010,0.3波美度,休眠期铲除
KG-ENT-006,KG-PES-002,70%WP 800x,发病初期
KG-ENT-006,KG-PES-003,50%WP 600x,展叶后
KG-ENT-006,KG-PES-004,80%WP 600x,雨季保护
KG-ENT-006,KG-PES-005,12.5%WP 2500x,发病初期
KG-ENT-006,KG-PES-012,10亿CFU/g 600x,生物防治
KG-ENT-006,KG-PES-010,0.3波美度,萌芽前
KG-ENT-007,KG-PES-002,70%WP 800x,发病初期
KG-ENT-007,KG-PES-004,80%WP 600x,雨季保护
KG-ENT-007,KG-PES-003,50%WP 600x,展叶后
KG-ENT-007,KG-PES-012,10亿CFU/g 600x,生物防治
KG-ENT-007,KG-PES-010,0.3波美度,萌芽前
KG-ENT-008,KG-PES-006,2.5%EC 2500x,萌芽期成虫出蛰
KG-ENT-008,KG-PES-007,10%WP 2500x,展叶期
KG-ENT-008,KG-PES-008,1.8%EC 2500x,发生期
KG-ENT-008,KG-PES-013,0.3%水剂 500x,发生初期
KG-ENT-008,KG-PES-015,100亿/g 1200x,幼虫期
KG-ENT-008,KG-PES-010,3波美度,萌芽前
KG-ENT-009,KG-PES-007,10%WP 2000x,展叶期幼虫孵化
KG-ENT-009,KG-PES-008,1.8%EC 2500x,发生期
KG-ENT-009,KG-PES-014,0.3%EC 900x,展叶期生物防治
KG-ENT-009,KG-PES-013,0.3%水剂 500x,发生初期
KG-ENT-009,KG-PES-010,3波美度,萌芽前
KG-ENT-010,KG-PES-006,2.5%EC 2500x,成虫产卵盛期
KG-ENT-010,KG-PES-007,10%WP 2500x,幼虫孵化期
KG-ENT-010,KG-PES-008,1.8%EC 2500x,幼虫期
KG-ENT-010,KG-PES-011,8000IU/mg 600x,幼虫蛀果前
KG-ENT-010,KG-PES-015,100亿/g 1200x,幼虫期
KG-ENT-010,KG-PES-013,0.3%水剂 500x,成虫期
KG-ENT-011,KG-PES-007,10%WP 2000x,展叶期若虫期
KG-ENT-011,KG-PES-008,1.8%EC 2500x,发生期
KG-ENT-011,KG-PES-006,2.5%EC 2500x,严重时
KG-ENT-011,KG-PES-013,0.3%水剂 500x,发生初期
KG-ENT-011,KG-PES-014,0.3%EC 900x,生物防治
KG-ENT-011,KG-PES-010,3波美度,萌芽前
KG-ENT-012,KG-PES-006,2.5%EC 2500x,幼虫1-2龄
KG-ENT-012,KG-PES-008,1.8%EC 2500x,幼虫期
KG-ENT-012,KG-PES-011,8000IU/mg 600x,幼虫低龄期
KG-ENT-012,KG-PES-013,0.3%水剂 500x,幼虫期
KG-ENT-012,KG-PES-015,100亿/g 1200x,幼虫期
KG-ENT-012,KG-PES-007,10%WP 2500x,兼治
KG-ENT-013,KG-PES-006,2.5%EC 2500x,幼虫卷叶前
KG-ENT-013,KG-PES-008,1.8%EC 2500x,幼虫期
KG-ENT-013,KG-PES-011,8000IU/mg 600x,幼虫低龄期
KG-ENT-013,KG-PES-014,0.3%EC 900x,幼虫期生物防治
KG-ENT-013,KG-PES-007,10%WP 2500x,兼治
KG-ENT-013,KG-PES-013,0.3%水剂 500x,发生初期
KG-ENT-014,KG-PES-008,1.8%EC 2500x,发生初期
KG-ENT-014,KG-PES-009,20%WP 2500x,发生盛期
KG-ENT-014,KG-PES-013,0.3%水剂 500x,发生初期
KG-ENT-014,KG-PES-010,0.3波美度,生长期预防
KG-ENT-014,KG-PES-007,10%WP 2500x,兼治
KG-ENT-015,KG-PES-010,3波美度,休眠期铲除越冬若虫
KG-ENT-015,KG-PES-007,10%WP 2000x,若虫孵化爬动期
KG-ENT-015,KG-PES-008,1.8%EC 2500x,若虫期
KG-ENT-015,KG-PES-006,2.5%EC 2500x,若虫期严重时
KG-ENT-015,KG-PES-013,0.3%水剂 500x,若虫期生物防治
KG-ENT-016,KG-PES-003,50%WP 600x,幼果期保护
KG-ENT-016,KG-PES-004,80%WP 600x,果实膨大期
KG-ENT-016,KG-PES-012,10亿CFU/g 600x,生物防治
KG-ENT-016,KG-PES-002,70%WP 800x,雨季前
KG-ENT-017,KG-PES-004,80%WP 600x,果实膨大期保护
KG-ENT-017,KG-PES-003,50%WP 600x,幼果期
KG-ENT-017,KG-PES-012,10亿CFU/g 600x,生物防治
KG-ENT-018,KG-PES-007,10%WP 2500x,防治传毒介体
KG-ENT-019,KG-PES-003,50%WP 600x,灌根防治
KG-ENT-019,KG-PES-012,10亿CFU/g 500x,土壤灌注
KG-ENT-019,KG-PES-010,1波美度,土壤消毒
KG-ENT-019,KG-PES-002,70%WP 800x,灌根
KG-ENT-020,KG-PES-007,10%WP 2500x,防治蚜虫传毒
KG-ENT-020,KG-PES-013,0.3%水剂 500x,防治传毒昆虫
KG-ENT-021,KG-PES-003,50%WP 600x,刮除病斑后涂抹
KG-ENT-021,KG-PES-002,70%WP 800x,发病初期喷雾
KG-ENT-021,KG-PES-010,3波美度,休眠期喷洒
KG-ENT-021,KG-PES-012,10亿CFU/g 500x,涂抹病部
KG-ENT-022,KG-PES-003,50%WP 600x,刮除病斑后涂抹
KG-ENT-022,KG-PES-002,70%WP 800x,病部涂抹
KG-ENT-022,KG-PES-010,5波美度,病斑涂抹
KG-ENT-022,KG-PES-012,10亿CFU/g 500x,生物防治涂抹
KG-ENT-023,KG-PES-010,3波美度,休眠期全树喷洒
KG-ENT-023,KG-PES-007,10%WP 2000x,若虫孵化期
KG-ENT-023,KG-PES-008,1.8%EC 2500x,若虫爬动期
KG-ENT-023,KG-PES-006,2.5%EC 2500x,严重时
KG-ENT-023,KG-PES-013,0.3%水剂 500x,若虫期
KG-ENT-024,KG-PES-008,1.8%EC 2500x,发生初期
KG-ENT-024,KG-PES-009,20%WP 2500x,发生盛期
KG-ENT-024,KG-PES-007,10%WP 2500x,兼治
KG-ENT-024,KG-PES-010,0.3波美度,生长期预防
KG-ENT-024,KG-PES-013,0.3%水剂 500x,发生初期
KG-ENT-025,KG-PES-006,2.5%EC 2500x,幼虫卷叶前
KG-ENT-025,KG-PES-008,1.8%EC 2500x,幼虫期
KG-ENT-025,KG-PES-011,8000IU/mg 600x,幼虫低龄期
KG-ENT-025,KG-PES-014,0.3%EC 900x,生物防治
KG-ENT-025,KG-PES-007,10%WP 2000x,兼治
KG-ENT-026,KG-PES-006,2.5%EC 2500x,成虫期
KG-ENT-026,KG-PES-007,10%WP 2500x,展叶期
KG-ENT-026,KG-PES-008,1.8%EC 2500x,发生期
KG-ENT-026,KG-PES-013,0.3%水剂 500x,生物防治
KG-ENT-026,KG-PES-010,3波美度,萌芽前
KG-ENT-027,KG-PES-010,3波美度,休眠期全树喷洒
KG-ENT-027,KG-PES-007,10%WP 2000x,若虫孵化爬动期
KG-ENT-027,KG-PES-008,1.8%EC 2500x,若虫期
KG-ENT-027,KG-PES-006,2.5%EC 2500x,严重时
KG-ENT-027,KG-PES-013,0.3%水剂 500x,若虫期
KG-ENT-028,KG-PES-006,2.5%EC 2500x,成虫产卵期
KG-ENT-028,KG-PES-007,10%WP 2500x,成虫期
KG-ENT-028,KG-PES-008,1.8%EC 2500x,幼虫期
KG-ENT-028,KG-PES-014,0.3%EC 900x,生物防治
KG-ENT-028,KG-PES-011,8000IU/mg 600x,幼虫期
KG-ENT-028,KG-PES-013,0.3%水剂 500x,成虫期
KG-ENT-029,KG-PES-015,100亿/g 1000x,幼虫期注孔
KG-ENT-029,KG-PES-008,1.8%EC 1000x,注孔防治幼虫
KG-ENT-029,KG-PES-006,2.5%EC 500x,注孔
KG-ENT-029,KG-PES-010,5波美度,涂白防产卵
KG-ENT-029,KG-PES-007,10%WP 2500x,成虫期补充防治
KG-ENT-030,KG-PES-015,100亿/g 1000x,幼虫期注孔
KG-ENT-030,KG-PES-008,1.8%EC 1000x,注孔防治
